stim_index,kind,stim_filename,nsd_id_73k,nsd_shared_pos,coco_id,coco_split,match_dist,match_mutual
1048,localizer,MFOB048.bmp,,,,,,
1049,localizer,MFOB049.bmp,,,,,,
1050,localizer,MFOB050.bmp,,,,,,
1051,localizer,MFOB051.bmp,,,,,,
1052,localizer,MFOB052.bmp,,,,,,
1053,localizer,MFOB053.bmp,,,,,,
1054,localizer,MFOB054.bmp,,,,,,
1055,localizer,MFOB055.bmp,,,,,,
1056,localizer,MFOB056.bmp,,,,,,
1057,localizer,MFOB057.bmp,,,,,,
1058,localizer,MFOB058.bmp,,,,,,
1059,localizer,MFOB059.bmp,,,,,,
1060,localizer,MFOB060.bmp,,,,,,
1061,localizer,MFOB061.bmp,,,,,,
1062,localizer,MFOB062.bmp,,,,,,
1063,localizer,MFOB063.bmp,,,,,,
1064,localizer,MFOB064.bmp,,,,,,
1065,localizer,MFOB065.bmp,,,,,,
1066,localizer,MFOB066.bmp,,,,,,
1067,localizer,MFOB067.bmp,,,,,,
1068,localizer,MFOB068.bmp,,,,,,
1069,localizer,MFOB069.bmp,,,,,,
1070,localizer,MFOB070.bmp,,,,,,
1071,localizer,MFOB071.bmp,,,,,,
1072,localizer,MFOB072.bmp,,,,,,
